สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
เมียนม่า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
     (2.3) ทีทีอาร์ เอศเอ็มอาร์ ไอเอสอาร์ เอสเอสอาร์ ไดแน็ท ฯลฯ,,,,,,,,,,,,
     (2.4) ยางแท่งอื่น ๆ,83.5,38.4,38.4,7.1,,-53.98,-53.98,-81.57,0.06,0.03,0.03,0.00
    (3) น้ำยางข้น,1.7,4.5,4.5,10.8,-14.74,159.82,159.82,140.06,0.00,0.00,0.00,0.01
    (4) ยางพาราอื่น ๆ,23.3,281.6,281.6,322.1,"4,651,980.00","1,110.85","1,110.85",14.35,0.02,0.19,0.19,0.22
     (4.2) ในลักษณะขั้นปฐม,23.1,105.3,105.3,139.5,,355.31,355.31,32.53,0.02,0.07,0.07,0.09
     (4.3) ยางเครฟ,,176.4,176.4,182.5,,,,3.50,,0.12,0.12,0.12
     (4.4) อื่น ๆ,0.1,,,,"26,940.00",,,,0.00,,,
   1.1.10 กาแฟ,0.9,1.2,1.2,1.2,118.59,22.79,22.79,2.47,0.00,0.00,0.00,0.00
    (1) กาแฟดิบ,0.1,0.1,0.1,0.0,616.67,-14.08,-14.08,-37.14,0.00,0.00,0.00,0.00
    (2) กาแฟคั่ว,0.9,1.1,1.1,1.1,105.87,26.08,26.08,4.89,0.00,0.00,0.00,0.00
   1.1.11 ใบยาสูบ,,,,,,,,,,,,
    (1) พันธุ์เวอร์จิเนีย,,,,,,,,,,,,
    (2) พันธุ์เบอร์เลย์,,,,,,,,,,,,
    (3) พันธุ์โอเรียนตอล,,,,,,,,,,,,
    (4) เศษใบยาสูบและอื่นๆ,,,,,,,,,,,,
   1.1.12 พืชน้ำมัน,9.9,24.5,24.5,23.2,-16.83,147.90,147.90,-5.23,0.01,0.02,0.02,0.02
    (1) ปาล์มน้ำมัน,0.9,,,,,,,,0.00,,,
    (2) พืชน้ำมันอื่น ๆ,8.9,24.5,24.5,23.2,-24.83,174.28,174.28,-5.23,0.01,0.02,0.02,0.02
   1.1.14 เมล็ดมะม่วงหิมพานต์,0.0,,,2.4,,,,,0.00,,,0.00
   1.1.15 ธัญญพืช,0.3,0.3,0.3,0.0,69.56,-15.10,-15.10,-99.80,0.00,0.00,0.00,0.00
    (1) ลูกเดือยทั้งเปลือก,,,,,,,,,,,,
    (2) รำและเศษจากธัญญพืช,0.1,0.0,0.0,,-50.82,-99.88,-99.88,,0.00,0.00,0.00,
    (3) ธัญญพืชอื่น ๆ,0.2,0.3,0.3,0.0,"1,776.72",16.40,16.40,-99.80,0.00,0.00,0.00,0.00
   1.1.16 เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,236.0,257.0,257.0,274.5,9.61,8.92,8.92,6.81,0.16,0.18,0.18,0.19
   1.1.17 ครั่ง,,,,,,,,,,,,
   1.1.18 ฝ้าย,10.1,0.6,0.6,1.5,-55.30,-93.82,-93.82,142.41,0.01,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,115.0,155.2,155.2,183.2,-18.09,34.97,34.97,18.01,0.08,0.11,0.11,0.12
  1.2 สินค้าประมง,199.0,413.6,413.6,450.4,63.54,107.79,107.79,8.91,0.14,0.28,0.28,0.30
   1.2.1 กุ้ง,128.5,291.8,291.8,268.9,84.40,127.06,127.06,-7.84,0.09,0.20,0.20,0.18
    (1) กุ้งสด แช่เย็น แช่แข็ง,113.1,274.2,274.2,244.9,234.49,142.49,142.49,-10.68,0.08,0.19,0.19,0.17
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,,,,,,,,,,,,
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,9.9,48.4,48.4,105.5,259.39,388.68,388.68,117.82,0.01,0.03,0.03,0.07
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,103.2,225.7,225.7,139.4,232.28,118.84,118.84,-38.25,0.07,0.15,0.15,0.09
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,,,,,,,,,,,,
    (3) กุ้งต้มสุกแช่เย็น,,,,,,,,,,,,
    (4) กุ้งอื่น ๆ,15.5,17.6,17.6,24.1,-56.88,14.17,14.17,36.31,0.01,0.01,0.01,0.02
   1.2.2 ปลาหมึก,2.4,2.1,2.1,0.0,"1,229.25",-12.58,-12.58,-99.39,0.00,0.00,0.00,0.00
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,2.4,2.1,2.1,0.0,"1,229.25",-12.58,-12.58,-99.39,0.00,0.00,0.00,0.00
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,,,,,,,,,,,,
   1.2.3 ปลา,62.7,118.6,118.6,181.4,32.03,89.14,89.14,52.93,0.04,0.08,0.08,0.12
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,0.7,0.1,0.1,0.2,-65.52,-79.08,-79.08,7.97,0.00,0.00,0.00,0.00
    (2) ปลาสด แช่เย็น แช่แข็ง,57.0,111.0,111.0,172.5,30.37,94.83,94.83,55.38,0.04,0.08,0.08,0.12
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),0.0,0.4,0.4,0.1,-69.84,862.50,862.50,-76.89,0.00,0.00,0.00,0.00
    (4) ปลามีชีวิต และพันธุ์ปลา,5.0,7.0,7.0,8.6,207.09,40.97,40.97,22.69,0.00,0.00,0.00,0.01
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,4.8,0.9,0.9,,11.01,-80.47,-80.47,,0.00,0.00,0.00,
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,4.2,0.9,0.9,,6.19,-77.74,-77.74,,0.00,0.00,0.00,
    (2) หอย มีชีวิต สด แช่เย็น แช่แข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน ,0.5,,,,41.16,,,,0.00,,,
    (3) สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ อื่น ๆ  ,0.1,,,,469.74,,,,0.00,,,
   1.2.5 แมงกะพรุน,,,,,,,,,,,,
   1.2.6 ตะพาบน้ำ,,,,,,,,,,,,
   1.2.7 กบ,,,,,,,,,,,,
   1.2.8  ประมงอื่น ๆ,0.6,0.1,0.1,0.1,"35,405.56",-76.84,-76.84,-40.74,0.00,0.00,0.00,0.00
  1.3 ปศุสัตว์,397.9,644.9,644.9,"1,024.8",37.21,62.08,62.08,58.91,0.27,0.44,0.44,0.69
   1.3.1 ไก่,84.9,142.0,142.0,455.6,38.05,67.34,67.34,220.71,0.06,0.10,0.10,0.31
    (1) ไก่สดแช่เย็นแช่แข็ง,77.8,129.9,129.9,443.5,69.86,66.89,66.89,241.41,0.05,0.09,0.09,0.30
    (2) ไก่แปรรูป,7.0,12.1,12.1,12.0,-55.05,72.39,72.39,-0.90,0.00,0.01,0.01,0.01
   1.3.2 เป็ดสดแช่เย็นแช่แข็ง,1.3,1.6,1.6,1.7,,23.15,23.15,5.20,0.00,0.00,0.00,0.00
   1.3.3 สุกรสดแช่เย็นแช่แข็ง,11.4,20.1,20.1,40.0,208.28,75.73,75.73,99.24,0.01,0.01,0.01,0.03
   1.3.4 กระดูกสัตว์และขนสัตว์ปีก,,,,,,,,,,,,
   1.3.5 ไข่ไก่สด(พันฟอง),3.2,0.9,0.9,18.1,-52.63,-72.73,-72.73,"1,971.01",0.00,0.00,0.00,0.01
   1.3.6 เนื้อและส่วนต่าง ๆ ของสัตว์ที่บริโภคได้,4.0,1.9,1.9,0.6,20.70,-53.08,-53.08,-67.13,0.00,0.00,0.00,0.00
   1.3.7 สินค้าปศุสัตว์อื่น ๆ,293.0,478.3,478.3,508.7,36.48,63.27,63.27,6.36,0.20,0.33,0.33,0.34
 2. สินค้าอุตสาหกรรมการเกษตร,"40,087.7","37,076.7","37,076.7","36,423.6",6.03,-7.51,-7.51,-1.76,27.36,25.37,25.37,24.58
  2.1  อาหารทะเลกระป๋องและแปรรูป,649.1,552.1,552.1,441.9,-9.23,-14.95,-14.95,-19.96,0.44,0.38,0.38,0.30
   2.1.1 อาหารทะเลกระป๋อง,327.0,438.4,438.4,360.2,24.93,34.09,34.09,-17.84,0.22,0.30,0.30,0.24
    (1)  ทูน่ากระป๋อง,18.2,11.9,11.9,9.3,98.43,-34.74,-34.74,-21.95,0.01,0.01,0.01,0.01
    (2)  ซาร์ดีนกระป๋อง,270.8,164.9,164.9,128.9,24.67,-39.09,-39.09,-21.83,0.18,0.11,0.11,0.09
    (3)  ปูกระป๋อง,34.9,26.4,26.4,7.6,7.44,-24.38,-24.38,-71.29,0.02,0.02,0.02,0.01
    (4)  กุ้งกระป๋อง,3.0,14.7,14.7,9.4,7.36,384.50,384.50,-36.02,0.00,0.01,0.01,0.01
    (5) หอยลายกระป๋อง(เมตริกตัน),,,,,,,,,,,,
    (6) ปลาหมึกกระป๋อง,,,,,,,,,,,,
    (7) อาหารทะเลกระป๋องอื่น ๆ,,220.5,220.5,205.0,,,,-7.03,,0.15,0.15,0.14
   2.1.2 อาหารทะเลแปรรูป,322.2,113.7,113.7,81.7,-28.95,-64.71,-64.71,-28.11,0.22,0.08,0.08,0.06
    (1) กุ้งแปรรูป,12.3,15.4,15.4,13.9,-5.13,24.77,24.77,-9.99,0.01,0.01,0.01,0.01
    (2) ปลาหมึกแปรรูป,0.0,0.1,0.1,0.8,-27.03,203.85,203.85,478.93,0.00,0.00,0.00,0.00
